event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
D,42793485,1,34,80000008,80003072,11141120,30801920,11141120,30801920,0,0,
D,42798876,1,33,80000008,80003072,10813440,31129600,10813440,31129600,0,0,
D,42996137,1,32,80000008,80003072,10485760,31457280,10485760,31457280,0,0,
E,43023551,1,32,80000008,80003072,10485760,31457280,10485760,31457280,0,0,
M,43089296,1,33,80000008,80003072,10813440,31457280,10813440,31457280,0,0,
M,43216981,1,34,80000008,80003072,11141120,31457280,11141120,31457280,0,0,
M,43344698,1,35,80000008,80003072,11468800,31457280,11468800,31457280,0,0,
M,43454273,1,36,80000008,80003072,11796480,31457280,11796480,31457280,0,0,
M,43568156,1,37,80000008,80003072,12124160,31457280,12124160,31457280,0,0,
M,43697635,1,38,80000008,80003072,12451840,31457280,12451840,31457280,0,0,
M,43832734,1,39,80000008,80003072,12779520,31457280,12779520,31457280,0,0,
M,43948796,1,40,80000008,80003072,13107200,31457280,13107200,31457280,0,0,
M,44083444,1,41,80000008,80003072,13434880,31457280,13434880,31457280,0,0,
M,44202433,1,42,80000008,80003072,13762560,31457280,13762560,31457280,0,0,
M,44315091,1,43,80000008,80003072,14090240,31457280,14090240,31457280,0,0,
M,44460444,1,44,80000008,80003072,14417920,31457280,14417920,31457280,0,0,
M,44587041,1,45,80000008,80003072,14745600,31457280,14745600,31457280,0,0,
M,44731629,1,46,80000008,80003072,15073280,31457280,15073280,31457280,0,0,
M,44859138,1,47,80000008,80003072,15400960,31457280,15400960,31457280,0,0,
M,44994450,1,48,80000008,80003072,15728640,31457280,15728640,31457280,0,0,
M,45125850,1,49,80000008,80003072,16056320,31457280,16056320,31457280,0,0,
M,45252155,1,50,80000008,80003072,16384000,31457280,16384000,31457280,0,0,
M,45371707,1,51,80000008,80003072,16711680,31457280,16711680,31457280,0,0,
M,45499278,1,52,80000008,80003072,17039360,31457280,17039360,31457280,0,0,
M,45628852,1,53,80000008,80003072,17367040,31457280,17367040,31457280,0,0,
M,45751086,1,54,80000008,80003072,17694720,31457280,17694720,31457280,0,0,
M,45878961,1,55,80000008,80003072,18022400,31457280,18022400,31457280,0,0,
M,46002210,1,56,80000008,80003072,18350080,31457280,18350080,31457280,0,0,
M,46124900,1,57,80000008,80003072,18677760,31457280,18677760,31457280,0,0,
M,46246320,1,58,80000008,80003072,19005440,31457280,19005440,31457280,0,0,
M,46376089,1,59,80000008,80003072,19333120,31457280,19333120,31457280,0,0,
M,46520632,1,60,80000008,80003072,19660800,31457280,19660800,31457280,0,0,
M,46654440,1,61,80000008,80003072,19988480,31457280,19988480,31457280,0,0,
M,46845939,1,62,80000008,80003072,20316160,31457280,20316160,31457280,0,0,
M,46969834,1,63,80000008,80003072,20643840,31457280,20643840,31457280,0,0,
M,47080052,1,64,80000008,80003072,20971520,31457280,20971520,31457280,0,0,
S,47127802,1,64,80000008,80003072,20971520,31457280,20971520,31457280,0,0,
D,48019304,1,63,80000008,80003072,20643840,31784960,20643840,31784960,0,0,
D,48031328,1,62,80000008,80003072,20316160,32112640,20316160,32112640,0,0,
